region,xenovote,slavicshare,changenonslav,slavicshare_changenonslav,inc9903,eduhi02,unemp02,apt9200,vsall03,brdcont
1,14,90.643288,-.87662238,-79.459938,1992.7855,121.59819,.88921595,70.093658,3.6023493,1
2,18.5,95.282722,-1.0966822,-104.49487,2558,131,.99667776,54,5.1330743,1
3,13,96.808777,-.28636044,-27.722204,3465,118,1.1976048,31,5.7353539,0
4,13.5,74.261459,3.0358908,225.44969,2655,134,.79601991,54,4.7965627,1
5,11,41.599594,3.512825,146.1321,2908,115,.5847953,34,2.7841849,0
6,11.6,98.723923,1.6534401,163.2341,2167,142,.33090669,46,5.5043931,0
7,11.7,98.588692,.22792661,22.470987,2202,121,1.0152284,49,4.424902,0
8,11,72.657791,3.6085587,262.18991,2713,151,.61162078,49,3.2933948,1
9,13.7,97.523834,1.3103205,127.78749,1867,134,1.0498688,49,5.1983099,0
10,14.8,92.737274,1.3029259,120.8298,2661,147,.44460911,56,4.4060431,1
11,11.7,98.4468,.55924165,55.055553,3041,121,.86614174,41,3.624948,0
12,13.4,98.658676,1.2121404,119.58817,2213,157,.5044136,49,4.4043703,0
13,6.4000001,93.390198,5.5446258,517.81372,9970,289,.25040933,49,6.3866606,0
14,7.6999998,94.042595,6.2668843,589.35406,5013,253,.32181937,38,4.1321921,0
15,10.4,95.836746,-.005252304,-.50336373,2837,146,.36889899,43,5.6975756,0
16,14.3,97.30928,2.3679056,230.41919,1553,135,.87108016,47,6.1710396,0
17,16.4,92.83725,.3388364,31.45664,2847,142,.77459335,44,4.4152412,0
18,2.8,33.920036,7.8218117,265.31613,1673,159,.77605319,63,1.3406723,0
19,15.5,94.154915,1.4992063,141.15764,2483,174,.7329843,46,5.7638288,1
20,12.6,95.898621,1.2589163,120.72833,2084,130,.27192387,49,3.9316311,0
21,5.1999998,39.349739,4.5973434,180.90427,1360,146,1.369863,69,4.6215448,0
22,11.8,97.464188,1.1724375,114.27067,2322,160,.38387716,48,5.1999221,0
23,16.799999,91.706009,4.110744,376.97992,4588,161,2.2284122,44,5.4446878,0
24,14.4,84.204643,-.4140704,-34.86665,3253,135,1.396648,35,5.665503,0
25,13.4,93.173737,-.41553685,-38.717121,3396,121,1.1383235,55,4.0506015,0
26,14.6,91.812851,.078606561,7.217092,2110,112,1.3297873,37,3.5518451,0
27,15.9,68.168213,.9434548,64.313622,5396,120,1.1787819,37,5.8125491,0
28,14.5,97.878639,.94322783,92.321861,2085,129,.67842603,46,4.2684889,0
29,12,89.724777,2.0580344,184.65668,2279.2249,143.33359,.38832355,58.998447,4.3039947,1
30,14.2,90.518173,.40417945,36.585583,3199.2678,136.65109,1.2141434,31.349773,6.1170678,0
31,13.5,86.481346,.57523406,49.747013,3760,167,.61728394,42,4.7885747,1
32,19.200001,93.141129,.10569836,9.8448639,1933,104,.78508341,53,3.8219848,1
33,15,98.827713,1.0263401,101.43085,2310,133,.56680161,51,4.902935,0
34,12,95.891937,2.2174602,212.63655,2022,139,.65907729,30,3.8497686,1
35,13.6,98.876991,1.683336,166.44319,2383,138,.32976091,47,5.8298283,0
36,16.1,89.808517,7.3142614,656.883,8392.8301,148.48312,2.2899237,37.47348,4.7521348,0
37,11.7,48.405914,.05206738,2.5203691,1387,140,.96153843,42,6.1466713,0
38,4.1999998,61.676445,.1738563,10.722838,1898,143,.78740156,29,1.5843641,0
39,9.3000002,97.110779,3.2479131,315.40738,2937,202,.3474845,35,6.1114469,0
40,15.4,95.278496,1.3275969,126.49144,4768,153,1.9058295,49,5.3393064,0
41,14,74.692093,8.7873287,656.34399,12491,98,2.3809524,29,6.301415,0
42,12.6,97.521675,1.2813259,124.95705,2357,132,.43227667,41,4.184453,0
43,12.3,94.327431,-.2609778,-24.617365,2653,165,.40861812,53,5.9430542,1
44,14.3,85.726379,-1.9345651,-165.84325,3379,140,.6734007,69,4.2461743,1
45,15.8,77.452812,-.45503536,-35.243767,2057,119,.22946306,50,3.9049644,1
46,11.2,98.572304,1.6334687,161.01477,2136,145,.46511629,42,4.7513738,0
47,9.8999996,87.336571,-.046772003,-4.0849066,1829,138,.96352375,51,3.8886812,0
48,12.9,85.939362,-.53567499,-46.035568,3633,116,.4609929,37,6.9859285,0
49,19.5,96.078453,1.0763733,103.41628,2909,158,1.5934331,50,5.440258,1
50,10.7,97.633125,.49304396,48.137421,2472,126,.91979998,46,4.0174847,1
51,11.3,94.614204,1.972856,186.66022,2786,155,.3860127,65,4.4585938,0
52,11.3,97.602829,1.7055954,166.47093,2336,139,.32573289,48,5.2672009,0
