,area_id,state,party,votes_first_vote,votes_second_vote
1,1,Schleswig-Holstein,CDU,68102,58307
300,1,Schleswig-Holstein,SPD,47697,40376
898,1,Schleswig-Holstein,The Greens,17899,22290
599,1,Schleswig-Holstein,Die Linke,12138,13995
1496,1,Schleswig-Holstein,FDP,11143,18948
1795,1,Schleswig-Holstein,AfD,10581,11647
2692,1,Schleswig-Holstein,others,1943,1189
12559,1,Schleswig-Holstein,others,755,0
1197,1,Schleswig-Holstein,CSU,0,0
2094,1,Schleswig-Holstein,Piraten,0,0
2393,1,Schleswig-Holstein,others,0,354
2991,1,Schleswig-Holstein,others,0,0
3290,1,Schleswig-Holstein,others,0,297
3589,1,Schleswig-Holstein,others,0,2091
3888,1,Schleswig-Holstein,others,0,0
4187,1,Schleswig-Holstein,others,0,0
4486,1,Schleswig-Holstein,others,0,0
4785,1,Schleswig-Holstein,others,0,59
5084,1,Schleswig-Holstein,others,0,0
5383,1,Schleswig-Holstein,others,0,0
5682,1,Schleswig-Holstein,others,0,0
5981,1,Schleswig-Holstein,others,0,0
6280,1,Schleswig-Holstein,others,0,0
6579,1,Schleswig-Holstein,others,0,0
6878,1,Schleswig-Holstein,others,0,843
7177,1,Schleswig-Holstein,others,0,0
7476,1,Schleswig-Holstein,others,0,0
7775,1,Schleswig-Holstein,others,0,0
8074,1,Schleswig-Holstein,others,0,0
8373,1,Schleswig-Holstein,others,0,0
8672,1,Schleswig-Holstein,others,0,0
8971,1,Schleswig-Holstein,others,0,0
9270,1,Schleswig-Holstein,others,0,0
9569,1,Schleswig-Holstein,others,0,0
9868,1,Schleswig-Holstein,others,0,0
10167,1,Schleswig-Holstein,others,0,0
10466,1,Schleswig-Holstein,others,0,0
10765,1,Schleswig-Holstein,others,0,0
11064,1,Schleswig-Holstein,others,0,0
11363,1,Schleswig-Holstein,others,0,0
11662,1,Schleswig-Holstein,others,0,0
11961,1,Schleswig-Holstein,others,0,0
12260,1,Schleswig-Holstein,others,0,0
2,2,Schleswig-Holstein,CDU,62260,52933
301,2,Schleswig-Holstein,SPD,34685,31120
899,2,Schleswig-Holstein,The Greens,13036,15154
1497,2,Schleswig-Holstein,FDP,11103,18048
1796,2,Schleswig-Holstein,AfD,8110,9023
600,2,Schleswig-Holstein,Die Linke,7102,8589
2693,2,Schleswig-Holstein,others,1605,855
1198,2,Schleswig-Holstein,CSU,0,0
2095,2,Schleswig-Holstein,Piraten,0,0
2394,2,Schleswig-Holstein,others,0,311
2992,2,Schleswig-Holstein,others,0,0
3291,2,Schleswig-Holstein,others,0,173
3590,2,Schleswig-Holstein,others,0,1376
3889,2,Schleswig-Holstein,others,0,0
4188,2,Schleswig-Holstein,others,0,0
4487,2,Schleswig-Holstein,others,0,0
4786,2,Schleswig-Holstein,others,0,63
5085,2,Schleswig-Holstein,others,0,0
5384,2,Schleswig-Holstein,others,0,0
5683,2,Schleswig-Holstein,others,0,0
5982,2,Schleswig-Holstein,others,0,0
6281,2,Schleswig-Holstein,others,0,0
6580,2,Schleswig-Holstein,others,0,0
6879,2,Schleswig-Holstein,others,0,430
7178,2,Schleswig-Holstein,others,0,0
7477,2,Schleswig-Holstein,others,0,0
7776,2,Schleswig-Holstein,others,0,0
8075,2,Schleswig-Holstein,others,0,0
8374,2,Schleswig-Holstein,others,0,0
8673,2,Schleswig-Holstein,others,0,0
8972,2,Schleswig-Holstein,others,0,0
9271,2,Schleswig-Holstein,others,0,0
9570,2,Schleswig-Holstein,others,0,0
9869,2,Schleswig-Holstein,others,0,0
10168,2,Schleswig-Holstein,others,0,0
10467,2,Schleswig-Holstein,others,0,0
10766,2,Schleswig-Holstein,others,0,0
11065,2,Schleswig-Holstein,others,0,0
11364,2,Schleswig-Holstein,others,0,0
11663,2,Schleswig-Holstein,others,0,0
11962,2,Schleswig-Holstein,others,0,0
12261,2,Schleswig-Holstein,others,0,0
12560,2,Schleswig-Holstein,others,0,0
3,3,Schleswig-Holstein,CDU,54812,47367
302,3,Schleswig-Holstein,SPD,34221,29757
1498,3,Schleswig-Holstein,FDP,14441,17294
1797,3,Schleswig-Holstein,AfD,10003,11176
900,3,Schleswig-Holstein,The Greens,8791,12960
601,3,Schleswig-Holstein,Die Linke,7175,8732
2694,3,Schleswig-Holstein,others,1277,1002
4787,3,Schleswig-Holstein,others,163,62
1199,3,Schleswig-Holstein,CSU,0,0
2096,3,Schleswig-Holstein,Piraten,0,0
2395,3,Schleswig-Holstein,others,0,472
2993,3,Schleswig-Holstein,others,0,0
3292,3,Schleswig-Holstein,others,0,192
3591,3,Schleswig-Holstein,others,0,1446
3890,3,Schleswig-Holstein,others,0,0
4189,3,Schleswig-Holstein,others,0,0
4488,3,Schleswig-Holstein,others,0,0
5086,3,Schleswig-Holstein,others,0,0
5385,3,Schleswig-Holstein,others,0,0
5684,3,Schleswig-Holstein,others,0,0
5983,3,Schleswig-Holstein,others,0,0
6282,3,Schleswig-Holstein,others,0,0
6581,3,Schleswig-Holstein,others,0,0
6880,3,Schleswig-Holstein,others,0,415
7179,3,Schleswig-Holstein,others,0,0
7478,3,Schleswig-Holstein,others,0,0
7777,3,Schleswig-Holstein,others,0,0
8076,3,Schleswig-Holstein,others,0,0
8375,3,Schleswig-Holstein,others,0,0
8674,3,Schleswig-Holstein,others,0,0
8973,3,Schleswig-Holstein,others,0,0
9272,3,Schleswig-Holstein,others,0,0
9571,3,Schleswig-Holstein,others,0,0
9870,3,Schleswig-Holstein,others,0,0
10169,3,Schleswig-Holstein,others,0,0
10468,3,Schleswig-Holstein,others,0,0
10767,3,Schleswig-Holstein,others,0,0
11066,3,Schleswig-Holstein,others,0,0
11365,3,Schleswig-Holstein,others,0,0
11664,3,Schleswig-Holstein,others,0,0
11963,3,Schleswig-Holstein,others,0,0
12262,3,Schleswig-Holstein,others,0,0
12561,3,Schleswig-Holstein,others,0,0
4,4,Schleswig-Holstein,CDU,66625,56584
303,4,Schleswig-Holstein,SPD,45070,35767
901,4,Schleswig-Holstein,The Greens,13978,19337
1798,4,Schleswig-Holstein,AfD,10656,11578
1499,4,Schleswig-Holstein,FDP,10077,19071
602,4,Schleswig-Holstein,Die Linke,8074,9962
2695,4,Schleswig-Holstein,others,1622,1031
1200,4,Schleswig-Holstein,CSU,0,0
2097,4,Schleswig-Holstein,Piraten,0,0
2396,4,Schleswig-Holstein,others,0,308
2994,4,Schleswig-Holstein,others,0,0
3293,4,Schleswig-Holstein,others,0,237
3592,4,Schleswig-Holstein,others,0,1754
3891,4,Schleswig-Holstein,others,0,0
4190,4,Schleswig-Holstein,others,0,0
4489,4,Schleswig-Holstein,others,0,0
4788,4,Schleswig-Holstein,others,0,55
5087,4,Schleswig-Holstein,others,0,0
5386,4,Schleswig-Holstein,others,0,0
5685,4,Schleswig-Holstein,others,0,0
5984,4,Schleswig-Holstein,others,0,0
6283,4,Schleswig-Holstein,others,0,0
6582,4,Schleswig-Holstein,others,0,0
6881,4,Schleswig-Holstein,others,0,584
7180,4,Schleswig-Holstein,others,0,0
7479,4,Schleswig-Holstein,others,0,0
7778,4,Schleswig-Holstein,others,0,0
8077,4,Schleswig-Holstein,others,0,0
8376,4,Schleswig-Holstein,others,0,0
8675,4,Schleswig-Holstein,others,0,0
8974,4,Schleswig-Holstein,others,0,0
9273,4,Schleswig-Holstein,others,0,0
9572,4,Schleswig-Holstein,others,0,0
9871,4,Schleswig-Holstein,others,0,0
10170,4,Schleswig-Holstein,others,0,0
10469,4,Schleswig-Holstein,others,0,0
10768,4,Schleswig-Holstein,others,0,0
11067,4,Schleswig-Holstein,others,0,0
11366,4,Schleswig-Holstein,others,0,0
11665,4,Schleswig-Holstein,others,0,0
11964,4,Schleswig-Holstein,others,0,0
12263,4,Schleswig-Holstein,others,0,0
12562,4,Schleswig-Holstein,others,0,0
304,5,Schleswig-Holstein,SPD,46517,35836
5,5,Schleswig-Holstein,CDU,45691,40011
902,5,Schleswig-Holstein,The Greens,21577,25904
1500,5,Schleswig-Holstein,FDP,11179,17480
603,5,Schleswig-Holstein,Die Linke,11050,15466
1799,5,Schleswig-Holstein,AfD,9193,10390
3593,5,Schleswig-Holstein,others,3995,3186
11965,5,Schleswig-Holstein,others,339,0
4789,5,Schleswig-Holstein,others,265,147
1201,5,Schleswig-Holstein,CSU,0,0
2098,5,Schleswig-Holstein,Piraten,0,0
2397,5,Schleswig-Holstein,others,0,250
2696,5,Schleswig-Holstein,others,0,537
2995,5,Schleswig-Holstein,others,0,0
3294,5,Schleswig-Holstein,others,0,341
3892,5,Schleswig-Holstein,others,0,0
4191,5,Schleswig-Holstein,others,0,0
4490,5,Schleswig-Holstein,others,0,0
5088,5,Schleswig-Holstein,others,0,0
5387,5,Schleswig-Holstein,others,0,0
5686,5,Schleswig-Holstein,others,0,0
5985,5,Schleswig-Holstein,others,0,0
6284,5,Schleswig-Holstein,others,0,0
6583,5,Schleswig-Holstein,others,0,0
6882,5,Schleswig-Holstein,others,0,625
7181,5,Schleswig-Holstein,others,0,0
7480,5,Schleswig-Holstein,others,0,0
7779,5,Schleswig-Holstein,others,0,0
8078,5,Schleswig-Holstein,others,0,0
8377,5,Schleswig-Holstein,others,0,0
8676,5,Schleswig-Holstein,others,0,0
8975,5,Schleswig-Holstein,others,0,0
9274,5,Schleswig-Holstein,others,0,0
9573,5,Schleswig-Holstein,others,0,0
9872,5,Schleswig-Holstein,others,0,0
10171,5,Schleswig-Holstein,others,0,0
10470,5,Schleswig-Holstein,others,0,0
10769,5,Schleswig-Holstein,others,0,0
